Untitled report
"March 1, 2026 - March 27, 2026"
Ad group,Impr.,Clicks,CTR,Currency code,Avg. CPC,Conversions,Cost
Plancher Polyaspartique,614,53,8.63%,CAD,3.13,3.00,165.78
Époxy Garage,469,41,8.74%,CAD,5.42,1.00,222.12
Epoxy Garage EN,335,29,8.66%,CAD,4.21,3.00,122.21
Ad group 1,306,38,12.42%,CAD,7.24,2.00,275.14
Revetement Garage,231,16,6.93%,CAD,2.80,1.00,44.87
Polyaspartic Floor,10,2,20.00%,CAD,1.49,0.00,2.97
